timestamp,value
1439965827628,1.0
1439966293140,-1.0
1439966297477,1.0
1439969374507,-1.0
1439969521223,-1.0
1439969614021,-1.0
1439969615749,-1.0
1439969695644,-1.0
1439969837581,1.0
1439970396788,-1.0
1439970675973,1.0
1439970680520,-1.0
1439970681806,-1.0
1439970721133,1.0
1439971738248,-1.0
1439972384491,1.0
1439973163929,-1.0
1439973167456,1.0
1439973406357,-1.0
1439973408761,1.0
1439973560288,-1.0
1439973561580,-1.0
1439974123403,-1.0
1439974309659,1.0
1439974708031,-1.0
1439975244734,-1.0
1439975308625,1.0
1439975548235,-1.0
1439976291174,1.0
1439976292395,1.0
1439977476629,-1.0
1439977661171,1.0
1439981359549,1.0
1439981876056,-1.0
1439981877407,1.0
1439982655915,-1.0
1439989711470,-1.0
1439991177289,-1.0
1439991425110,1.0
1439992374942,-1.0
1439992521930,1.0
1439992694615,-1.0
1439993028318,1.0
1439993417016,-1.0
1439996776318,-1.0
1440000454246,1.0
1440009494045,-1.0
1440028401589,1.0
1440029003646,1.0
1440029388199,-1.0
1440029482655,1.0
1440029565335,1.0
1440029613835,1.0
1440030568666,1.0
1440031597807,-1.0
1440031635228,1.0
1440031684092,1.0
1440031691989,1.0
1440031749077,-1.0
1440032115179,1.0
1440032225268,-1.0
1440032287242,-1.0
1440032310722,1.0
1440032498288,1.0
1440033436667,1.0
1440036321807,-1.0
1440036480412,1.0
1440036670556,-1.0
1440037129119,1.0
1440037621219,-1.0
1440037656814,1.0
1440037661696,-1.0
1440037840434,-1.0
1440038526959,-1.0
1440038576573,1.0
1440038652733,1.0
1440038787567,-1.0
1440038788688,-1.0
1440038790626,-1.0
1440038791764,-1.0
1440038795777,-1.0
1440039087492,1.0
1440039088673,-1.0
1440039155560,1.0
1440039168549,-1.0
1440039374433,1.0
1440039407043,-1.0
1440039580799,1.0
1440039718613,-1.0
1440039921880,-1.0
1440040563661,1.0
1440042212823,-1.0
1440042214015,-1.0
1440042330559,-1.0
1440042467916,1.0
1440042483665,1.0
1440042498170,1.0
1440042743873,-1.0
1440042745142,-1.0
1440042746310,-1.0
1440042747539,-1.0
1440043274593,1.0
1440044576365,-1.0
1440044688713,1.0
1440047343705,-1.0
1440047475320,1.0
1440049614637,-1.0
1440049725433,1.0
1440049821265,1.0
1440049828330,-1.0
1440049832746,-1.0
1440059284606,1.0
1440059556552,-1.0
1440121454650,1.0
1440121491377,-1.0
1440121494499,1.0
1440125850456,1.0
1440133254346,-1.0
1440135241574,1.0
1440135710052,-1.0
1440135929265,1.0
1440136542833,-1.0
1440139450548,1.0
1440139612519,-1.0
1440140164989,1.0
1440144705426,-1.0
1440145474327,1.0
1440145646187,-1.0
1440145860844,-1.0
1440146423516,1.0
1440146513741,1.0
1440148339952,-1.0
1440150422224,-1.0
1440150469288,-1.0
1440155573698,-1.0
1440158432737,1.0
1440167066845,-1.0
