timestamp,value
1444133136824,-1.0
1444133401558,1.0
1444135765233,-1.0
1444135913798,1.0
1444136000059,-1.0
1444136060197,1.0
1444136651801,1.0
1444138118384,-1.0
1444138283524,1.0
1444140122841,1.0
1444140377258,-1.0
1444141131034,-1.0
1444142003662,-1.0
1444143548657,-1.0
1444143894356,1.0
1444146531380,-1.0
1444147228737,1.0
1444147338382,-1.0
1444152426148,-1.0
1444152429587,1.0
1444157010323,-1.0
1444177370732,1.0
1444179413182,-1.0
1444182279666,1.0
1444182517640,1.0
1444182524473,1.0
1444183305653,-1.0
1444183880193,-1.0
1444183964984,1.0
1444185560953,1.0
1444185562173,1.0
1444185564824,-1.0
1444185595860,-1.0
1444185610585,-1.0
1444185617032,-1.0
1444185618516,-1.0
1444186238930,1.0
1444186336804,-1.0
1444187571051,1.0
1444188774842,-1.0
1444189028057,1.0
1444189240837,1.0
1444190372449,-1.0
1444191316168,1.0
1444191765040,1.0
1444192143597,-1.0
1444192151040,1.0
1444192155019,-1.0
1444192157651,1.0
1444193985741,-1.0
1444194197102,1.0
1444194533258,-1.0
1444195634525,-1.0
1444195730273,1.0
1444196218611,-1.0
1444196271539,1.0
1444196357490,-1.0
1444196547153,1.0
1444197658694,-1.0
1444197663664,-1.0
1444198100652,-1.0
1444198588580,1.0
1444200696318,-1.0
1444200738432,-1.0
1444200914962,1.0
1444201200466,1.0
1444202614346,-1.0
1444202708406,-1.0
1444205338397,-1.0
1444205371248,-1.0
1444205534764,-1.0
1444205773099,-1.0
1444205806284,1.0
1444205816722,-1.0
1444205983208,1.0
1444206531614,1.0
1444206605454,-1.0
1444206746208,1.0
1444208123208,1.0
1444208217152,-1.0
1444212755062,1.0
1444213706948,-1.0
1444215684200,1.0
1444215716152,-1.0
1444215792884,-1.0
1444216299786,1.0
1444216335860,-1.0
1444216851541,1.0
1444217051030,1.0
1444217928990,-1.0
1444226200098,1.0
1444227110813,-1.0
1444227352543,1.0
1444227759801,-1.0
1444227932514,1.0
1444228679113,-1.0
1444229274194,-1.0
1444257322555,-1.0
1444257324032,-1.0
1444259596893,1.0
1444262339637,1.0
1444265897917,-1.0
1444266223847,1.0
1444266475023,1.0
1444266530839,-1.0
1444267026534,-1.0
1444267284410,1.0
1444268143316,1.0
1444268650971,-1.0
1444269238531,1.0
1444269848203,1.0
1444269973768,-1.0
1444269974847,1.0
1444269993730,-1.0
1444270028367,1.0
1444270046573,-1.0
1444270056536,-1.0
1444270104128,-1.0
1444270121669,-1.0
1444270127312,1.0
1444270135979,-1.0
1444270157198,-1.0
1444270160122,-1.0
1444270162432,-1.0
1444270280769,-1.0
1444271377505,1.0
1444271993995,1.0
1444272638405,1.0
1444274449914,-1.0
1444274458090,-1.0
1444274462091,1.0
1444274475224,1.0
1444274479596,1.0
1444274481761,-1.0
1444274483398,-1.0
1444274730800,-1.0
1444274732633,-1.0
1444276404023,-1.0
1444276419644,-1.0
1444276527428,1.0
1444276738183,-1.0
1444276881485,1.0
1444276957811,1.0
1444278783364,1.0
1444279158872,-1.0
1444279162426,1.0
1444279173641,-1.0
1444279791771,-1.0
1444280089463,1.0
1444280556971,1.0
1444281062976,1.0
1444282404287,-1.0
1444282544226,1.0
1444283507050,-1.0
1444284227906,-1.0
1444284425886,1.0
1444284491876,1.0
1444284863268,-1.0
1444284970767,1.0
1444285467746,-1.0
1444285469460,-1.0
1444285620866,-1.0
1444285745756,1.0
1444285767469,-1.0
1444285770228,1.0
1444286073706,1.0
1444286904103,-1.0
1444287154982,-1.0
1444287846300,1.0
1444287847969,1.0
1444291825731,-1.0
1444291891840,1.0
1444294049984,-1.0
1444294051698,-1.0
1444294078695,-1.0
1444294175364,1.0
1444294234589,1.0
1444295276776,-1.0
1444295316183,-1.0
1444295365040,1.0
1444297445445,1.0
1444297504030,-1.0
1444298620403,-1.0
1444298738329,1.0
1444298785628,-1.0
1444298844429,1.0
1444301626187,1.0
1444301837504,-1.0
1444301930491,-1.0
1444302138359,1.0
1444302213479,-1.0
1444302220953,1.0
1444302229166,-1.0
1444302294186,1.0
1444302449162,1.0
1444302494525,-1.0
1444303270111,1.0
1444303275761,-1.0
1444303287452,1.0
1444303324949,1.0
1444303326443,1.0
1444303358320,-1.0
1444303692271,-1.0
1444303836400,-1.0
1444303998404,1.0
1444305572874,-1.0
1444305743290,1.0
1444306620937,-1.0
1444308308347,-1.0
1444308458369,1.0
1444309424914,-1.0
1444309503994,-1.0
1444309646723,1.0
1444311668081,-1.0
1444311810192,1.0
1444314221055,-1.0
1444315148692,-1.0
1444315232534,1.0
1444357512481,-1.0
1444361631207,1.0
1444361853356,-1.0
1444361857211,-1.0
1444361858381,1.0
1444361859421,-1.0
1444361868317,-1.0
1444362938727,-1.0
1444363005178,1.0
1444364266188,1.0
1444365699765,-1.0
1444370857704,1.0
1444373823936,-1.0
1444374214940,1.0
1444376052194,-1.0
1444383527369,-1.0
1444383657911,1.0
1444383687284,1.0
1444384352639,-1.0
1444398110289,-1.0
1444398261202,1.0
1444407095974,-1.0
1444407412469,1.0
1444429379271,-1.0
1444440232687,1.0
1444440398950,-1.0
1444440400842,1.0
1444447198308,-1.0
1444447204071,1.0
1444461544236,-1.0
1444461656484,1.0
1444463762807,-1.0
1444472762700,1.0
1444483182302,1.0
1444487057972,-1.0
1444487870951,-1.0
1444487986876,1.0
1444497659193,-1.0
1444503890246,-1.0
1444535103614,-1.0
1444535105922,-1.0
1444535113134,1.0
1444535117754,-1.0
1444536139028,-1.0
1444537474532,1.0
1444537508408,-1.0
1444537513180,1.0
1444537550495,1.0
1444539749282,-1.0
1444539797782,-1.0
1444541659364,-1.0
1444541810013,1.0
1444549309262,1.0
1444552021920,-1.0
1444552180905,1.0
1444552193708,-1.0
1444556835418,-1.0
1444556957933,1.0
1444558314902,-1.0
1444558687609,1.0
1444559431709,1.0
1444559441606,-1.0
1444566958575,-1.0
1444567060605,-1.0
1444569701952,-1.0
1444570043664,1.0
1444597148913,1.0
1444597187904,-1.0
1444597389128,1.0
1444600219671,1.0
1444602310057,1.0
1444604505261,-1.0
1444606448715,1.0
1444612461985,-1.0
1444613874366,1.0
1444614318045,-1.0
1444617554410,-1.0
1444617557663,-1.0
1444617935422,-1.0
1444618096704,1.0
1444621415425,1.0
1444622019297,1.0
1444622434044,1.0
1444624197284,-1.0
1444624428417,1.0
1444626576629,1.0
1444627112456,-1.0
1444627189563,-1.0
1444627202868,-1.0
1444627207142,1.0
1444627212831,1.0
1444627255526,-1.0
1444627257417,-1.0
1444627264143,-1.0
1444628637326,-1.0
1444630561840,-1.0
1444630699809,1.0
1444632119750,1.0
1444632344371,1.0
1444634143992,-1.0
1444634899345,-1.0
1444635051725,1.0
1444635584977,1.0
1444635691690,-1.0
1444639269247,1.0
1444639839194,-1.0
1444640218354,1.0
1444640264698,-1.0
1444640589613,-1.0
1444640591136,-1.0
1444640592826,-1.0
1444641358425,1.0
1444643239209,1.0
1444643542370,1.0
1444643543659,1.0
1444643545943,1.0
1444644635254,-1.0
1444644749830,1.0
1444644903344,1.0
1444645206519,-1.0
1444645514504,1.0
1444645600471,-1.0
1444645733355,1.0
1444645763467,1.0
1444645771790,-1.0
1444645772874,-1.0
1444645774120,-1.0
1444646655296,-1.0
1444647352987,-1.0
1444651082130,1.0
1444651083280,1.0
1444651084514,1.0
1444652000629,-1.0
1444653370048,-1.0
1444654161246,1.0
1444654348947,1.0
1444654490123,-1.0
1444654491222,1.0
1444654530137,1.0
1444654565755,-1.0
1444654592645,-1.0
1444660303039,-1.0
1444660594576,1.0
1444663141213,1.0
1444668014688,-1.0
1444668096643,1.0
1444672900489,1.0
1444673008659,1.0
1444673341052,-1.0
1444693694261,1.0
1444696668968,1.0
1444697331753,-1.0
1444697389959,-1.0
1444697554897,1.0
1444697572516,1.0
1444702786584,1.0
1444702826632,1.0
1444702995040,1.0
1444703508129,1.0
1444703721299,1.0
1444703905061,-1.0
1444703932296,1.0
1444703951966,-1.0
1444704036654,-1.0
1444704124385,1.0
1444704195332,1.0
1444707462626,1.0
1444707471374,-1.0
1444707474835,-1.0
1444707496167,-1.0
1444707502035,-1.0
1444707511029,-1.0
1444707512545,-1.0
1444709559773,-1.0
1444709700340,1.0
1444709832558,1.0
1444709833814,1.0
1444709835842,1.0
1444709839088,1.0
1444709840832,1.0
1444709851490,-1.0
1444710051949,1.0
1444710443190,-1.0
1444710579279,-1.0
1444711902753,-1.0
1444712069847,1.0
1444712345279,1.0
1444712347919,1.0
1444712351350,-1.0
1444712759481,-1.0
1444712909820,1.0
1444713186656,1.0
1444713220744,1.0
1444713235350,-1.0
1444713388766,1.0
1444713937231,1.0
1444714058897,-1.0
1444714071510,-1.0
1444714185808,1.0
1444714468421,-1.0
1444714469504,-1.0
1444714725282,1.0
1444714937765,1.0
1444715186337,-1.0
1444715567244,1.0
1444715929643,-1.0
1444715945692,1.0
1444715952848,-1.0
1444716295510,-1.0
1444716432968,1.0
1444716883073,1.0
1444717383169,1.0
1444717396110,1.0
1444717400458,-1.0
1444717881236,1.0
1444718491736,-1.0
1444718670059,1.0
1444720669676,-1.0
1444720778692,1.0
1444721990006,-1.0
1444722899673,1.0
1444723970363,-1.0
1444725023836,-1.0
1444725204325,1.0
1444726036416,-1.0
1444726040614,-1.0
1444726048487,1.0
1444726052252,-1.0
1444726457960,-1.0
1444727416003,-1.0
1444727612344,1.0
1444728257184,1.0
1444728258454,1.0
1444728260160,1.0
1444728719402,-1.0
1444728725461,1.0
1444728733955,-1.0
1444730217443,-1.0
1444730445891,1.0
1444733479007,-1.0
1444733659873,1.0
1444735459148,-1.0
1444735470788,1.0
1444737244695,-1.0
1444737441628,1.0
1444737951116,-1.0
1444738067156,1.0
1444738100492,-1.0
1444738556901,1.0
1444743725836,1.0
1444745835868,-1.0
1444745969482,1.0
