timestamp,value
1445261936031,-1.0
1445261940107,1.0
1445262467633,-1.0
1445262691031,1.0
1445263212780,-1.0
1445263334647,1.0
1445265033068,-1.0
1445265722915,1.0
1445265796924,-1.0
1445266801503,-1.0
1445266991666,1.0
1445267669698,-1.0
1445268189986,1.0
1445269047800,-1.0
1445274071974,-1.0
1445274218548,1.0
1445282004000,-1.0
1445282106720,1.0
1445290853124,-1.0
1445290904115,1.0
1445290910174,-1.0
1445291290432,1.0
1445291499476,-1.0
1445291557253,1.0
1445294714839,-1.0
1445294879772,1.0
1445298809326,1.0
1445300317130,-1.0
1445300624063,-1.0
1445300721979,1.0
1445301078171,-1.0
1445301505955,1.0
1445301909291,-1.0
1445302202040,1.0
1445302563477,1.0
1445303383422,1.0
1445303397769,-1.0
1445303404847,1.0
1445304063103,-1.0
1445304372825,-1.0
1445304706310,1.0
1445305681275,-1.0
1445306885547,-1.0
1445307034460,1.0
1445308800001,1.0
1445309741499,-1.0
1445309744839,-1.0
1445309746572,1.0
1445309748614,-1.0
1445309754207,-1.0
1445309755710,1.0
1445309757316,-1.0
1445309770566,-1.0
1445309772238,-1.0
1445309774170,-1.0
1445309994813,-1.0
1445310218102,1.0
1445311960842,-1.0
1445311962292,-1.0
1445313331487,1.0
1445313462610,-1.0
1445313504545,-1.0
1445313505994,-1.0
1445314061092,1.0
1445314062372,1.0
1445314274505,1.0
1445314474066,-1.0
1445314969588,1.0
1445315704604,-1.0
1445316277590,-1.0
1445317277896,1.0
1445318410163,-1.0
1445318446023,1.0
1445318993234,-1.0
1445319126796,1.0
1445319206723,-1.0
1445319734611,-1.0
1445319867809,1.0
1445320847585,1.0
1445321543793,1.0
1445321632442,-1.0
1445321680607,1.0
1445321760990,-1.0
1445321766089,1.0
1445321774347,-1.0
1445325577233,1.0
1445326757154,-1.0
1445327362267,1.0
1445328676573,-1.0
1445328911742,-1.0
1445329113506,1.0
1445329357944,1.0
1445329775327,-1.0
1445330116134,-1.0
1445330238744,1.0
1445331239996,-1.0
1445331242049,-1.0
1445331243088,1.0
1445331248126,1.0
1445331266642,1.0
1445331268376,1.0
1445331301977,1.0
1445331303160,1.0
1445331306680,1.0
1445331311728,1.0
1445331317843,1.0
1445331323206,1.0
1445331344441,1.0
1445331352958,1.0
1445331354150,1.0
1445331356363,1.0
1445331358259,1.0
1445331359539,1.0
1445331363143,1.0
1445331397142,1.0
1445331399860,1.0
1445331404473,1.0
1445331442074,1.0
1445331461223,1.0
1445331499968,1.0
1445331503900,1.0
1445331507673,1.0
1445331516323,1.0
1445331518211,1.0
1445331521201,1.0
1445331528766,1.0
1445331580995,1.0
1445331582186,1.0
1445331586008,1.0
1445331598020,1.0
1445331604028,1.0
1445331607029,1.0
1445331612563,1.0
1445331626687,1.0
1445331628317,1.0
1445331675717,1.0
1445331706587,1.0
1445331709141,1.0
1445331710232,1.0
1445331721010,1.0
1445331724393,1.0
1445331732232,-1.0
1445332000562,1.0
1445332361686,-1.0
1445332410017,-1.0
1445332562016,1.0
